SETTING,BGU,BGU_Code,Comment,Suggested_BGU_Code
Fluvial,Fluvial delta,Fl04,name changed,Fl04
Fluvial,Fluvial fan,Fl05,name changed,Fl05
Fluvial,Fluvial fan lobe,Fl06,name changed,Fl06
Fluvial,Fluvial subaerial valley,Fl07,name changed,Fl07
Fluvial,Fluvial fan-delta,Flxx,new entry,Fl13
Fluvial,subaerial channel,Fl01,,Fl01
Glacial,corrugation ridges,Gl03,,Gl03
Glacial,corrugation ridges within ploughmarks,Gl04,,Gl04
Glacial,crevasse-filling,Gl05,,Gl05
Glacial,crevasse-squeeze ridge,Gl05,,Gl05
Glacial,cross-shelf trough,Gl33,,Gl33
Glacial,cupola hill,Gl06,,Gl06
Glacial,erratic,Gl07,,Gl07
Glacial,esker,Gl08,,Gl08
Glacial,Glacial basin,Gl09,name changed,Gl09
Glacial,Glacial fjord,Gl10,name changed,Gl10
Glacial,glacier-fed delta,Gl11,,Gl11
Glacial,glacifluvial delta,Gl11,,Gl11
Glacial,glacifluvial outwash plain,Gl12,,Gl12
Glacial,glacigenic debris flow/lobe,Gl13,,Gl13
Glacial,glacitectonic raft,Gl15,,Gl15
Glacial,grounding-line fan,Gl20,,Gl20
Glacial,grounding zone fan,Gl20,,Gl20
Glacial,grounding zone wedge,Gl16,,Gl16
Glacial,hill-hole pair,Gl14,,Gl14
Glacial,hummocky terrain,Gl18,,Gl18
Glacial,ice-contact delta,Gl19,,Gl19
Glacial,ice-contact fan,Gl20,,Gl20
Glacial,ice-proximal fan,Gl20,,Gl20
Glacial,iceberg grounding pit,Gl21,,Gl21
Glacial,iceberg ploughmark,Gl25,,Gl25
Glacial,kettle hole,Gl22,,Gl22
Glacial,medial moraine,Gl23,,Gl23
Glacial,meltwater channel,Gl24,,Gl24
Glacial,moraine,Gl01,,Gl01
Glacial,proglacial meltwater channel,Gl26,,Gl26
Glacial,ribs,Gl03,,Gl03
Glacial,Rogen (ribbed) moraine,Gl27,,Gl27
Glacial,sandur,Gl12,,Gl12
Glacial,sill/threshold,Gl28,,Gl28
Glacial,streamlined landform,Gl02,,Gl02
Glacial,sub-ice shelf keel scour mark,Gl29,,Gl29
Glacial,thrust-block moraine,Gl30,,Gl30
Glacial,trough-mouth fan,Gl31,,Gl31
Glacial,tunnel valley,Gl32,,Gl32
Glacial,U-shaped valley,Gl17,,Gl17
Karst,carbonate karst,Ka01,,Ka01
Karst,salt karst,Ka03,,Ka03
Karst,sandstone karst,Ka02,,Ka02
Marine,canyon head,Ma01,,Ma01
Marine,canyon mouth,Ma02,,Ma02
Marine,Marine barform,Ma03,name changed,Ma03
Marine,Marine reef,Ma04,name changed,Ma04
Marine,submarine canyon,Ma05,,Ma05
Marine,submarine channel,Ma06,,Ma06
Marine,submarine channel belt,Ma07,,Ma07
Marine,submarine fan,Ma08,,Ma08
Marine,submarine gully,Ma09,,Ma09
Marine,submarine terrace,Ma10,,Ma10
Marine,submarine tributary canyon,Ma11,,Ma11
Marine,submarine valley,Ma12,,Ma12
Mass Movement,accumulation zone,MM08,,MM08
Mass Movement,complex,MM01,,MM01
Mass Movement,compressional domain,MM08,,MM08
Mass Movement,crown crack,MM02,,MM02
Mass Movement,debris apron,MM03,,MM03
Mass Movement,debris fan,MM05,,MM05
Mass Movement,depletion zone,MM10,,MM10
Mass Movement,depositional zone,MM08,,MM08
Mass Movement,evacuation zone,MM10,,MM10
Mass Movement,extensional domain,MM10,,MM10
Mass Movement,extensional ridge,MM11,,MM11
Mass Movement,fall,MM04,,MM04
Mass Movement,flow,MM06,,MM06
Mass Movement,head scarp,MM13,,MM13
Mass Movement,headwall,MM13,,MM13
Mass Movement,headwall domain,MM10,,MM10
Mass Movement,lateral scarp,MM14,,MM14
Mass Movement,lateral spread,MM15,,MM15
Mass Movement,Mass-movement compressional ridge,MM16,name changed,MM16
Mass Movement,Mass-movement toe,MM17,name changed,MM17
Mass Movement,minor scarp,MM18,,MM18
Mass Movement,mudflow fan,MM19,,MM19
Mass Movement,mudflow gully,MM20,,MM20
Mass Movement,remnant block,MM21,,MM21
Mass Movement,secondary escarpment,MM18,,MM18
Mass Movement,sidewall,MM14,,MM14
Mass Movement,slide,MM12,,MM12
Mass Movement,talus apron,MM22,,MM22
Mass Movement,talus fan,MM23,,MM23
Mass Movement,tension cracks,MM02,,MM02
Mass Movement,topple,MM07,,MM07
Mass Movement,translated block,MM09,,MM09
Mass Movement,transverse crack,MM24,,MM24
Mass Movement,transverse ridge,MM16,,MM16
Mass Movement,turbidite fan,MM25,,MM25
Mass Movement,turbidite levee,MM26,,MM26
Mass Movement,turbidity channel,MM27,,MM27
