SETTING,BGU,BGUT,BGUT_Code,Comment,Suggested_BGUT_Code
Anthropogenic,archaeological,cultural site,An03Cs,,An03Cs
Anthropogenic,archaeological,historical wreck,An03Hw,,An03Hw
Anthropogenic,archaeological,other archaeological,An03Oa,,An03Oa
Anthropogenic,disturbance,anchor drag,An01Ad,,An01Ad
Anthropogenic,disturbance,bottom trawl,An01Bt,,An01Bt
Anthropogenic,disturbance,dredge scour,An01Ds,,An01Ds
Anthropogenic,disturbance,dredge spoil,An01Dl,,An01Dl
Anthropogenic,disturbance,mine tailings,An01Mt,,An01Mt
Anthropogenic,disturbance,other disturbance,An01Od,,An01Od
Anthropogenic,structure,artificial reef,An02Ar,,An02Ar
Anthropogenic,structure,cable,An02Ce,,An02Ce
Anthropogenic,structure,coastal management structure,An02Cm,,An02Cm
Anthropogenic,structure,debris,An02Ds,,An02Ds
Anthropogenic,structure,fish farm,An02Ff,,An02Ff
Anthropogenic,structure,fish trap,An02Ft,,An02Ft
Anthropogenic,structure,foundations and moorings,An02Fm,,An02Fm
Anthropogenic,structure,mine,An02Me,,An02Me
Anthropogenic,structure,other structure,An02Os,,An02Os
Anthropogenic,structure,pipeline,An02Pe,,An02Pe
Anthropogenic,structure,rubbish discharge,An02Rd,,An02Rd
Anthropogenic,structure,wreck,An02Wk,,An02Wk
Biogenic,bed,aggregation,Bi06At,,Bi06At
Biogenic,bed,ribbon,Bi10Rb,"should be Bi06, due to change in the tree",Bi06Rb
Biogenic,bed,sediment trapped/bound,Bi06Sb,,Bi06Sb
Biogenic,bed,sheet,Bi10Sh,"should be Bi06, due to change in the tree",Bi06Sh
Biogenic,mat,aggregation,Bi06At,,Bi06At
Biogenic,mat,sediment trapped/bound,Bi06Sb,,Bi06Sb
Biogenic,mat,ribbon,Bi06xx,change in the tree,Bi06Rb
Biogenic,mat,sheet,Bi06xx,change in the tree,Bi06Sh
Biogenic,biostrome,ribbon,Bi10Rb,"should be Bi06, biostrome is aka of bed and mat",Bi06Rb
Biogenic,biostrome,sheet,Bi10Sh,"should be Bi06, biostrome is aka of bed and mat",Bi06Sh
Biogenic,biostrome,aggregation,Bi06xx,change in the tree,Bi06At
Biogenic,biostrome,sediment trapped/bound,Bi06xx,change in the tree,Bi06Sb
Biogenic,Biogenic reef,atoll,Bi02Al,,Bi02Al
Biogenic,Biogenic reef,barrier reef,Bi02Br,,Bi02Br
Biogenic,Biogenic reef,cold-water-coral-reef,Bi02Cw,,Bi02Cw
Biogenic,Biogenic reef,coralligène,Bi02Ce,,Bi02Ce
Biogenic,Biogenic reef,coralligène bank,Bi02Cb,,Bi02Cb
Biogenic,Biogenic reef,coralligène rim,Bi02Cr,,Bi02Cr
Biogenic,Biogenic reef,mature reef - crescentic,Bi02Cf,BGUT name changed,Bi02Mc
